Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Such a Fun Age,Kiley Reid,"",9780525541929,digital,read,2022/09/19,2021,2021,1,"",,"","","","","",4.25,"","","","",No
The Death of Ivan Ilych,Leo Tolstoy,"Aylmer Maude (Translator), Ευγενία Ζήκου (Translator), رضی هیرمند (Translator)",9781600964336,paperback,to-read,2024/01/02,"","",0,"",,,,,,,,,"",,"",No
Early Morning Riser,Katherine Heiny,"",9780525659341,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
In a New York Minute,Kate Spencer,"","",digital,did-not-finish,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
"Slow Days, Fast Company. The World, the Flesh, and L.A.",Eve Babitz,Matthew Specktor (Contributor),9781681370088,paperback,to-read,2023/08/07,"","",0,"",,,,,,,,,"",,"",No
Pet Sematary,Stephen King,"",9781529378306,paperback,to-read,2022/09/21,"","",0,"",,,,,,,,,"",,"",No
Starcrossed,Brenda Hiatt,"",,digital,read,2022/09/30,2023/12/18,2023/12/10-2023/12/18,2,"",,,,,,,,,"",,"",No
The Art and Business of Online Writing: How to Beat the Game of Capturing and Keeping Attention,Nicolas Cole,"",B08GZK274F,digital,to-read,2023/03/31,"","",0,"",,,,,,,,,"",,"",No
The Idiot,Elif Batuman,"",9781594205613,hardcover,to-read,2024/01/07,"","",0,"",,,,,,,,,"",,"",No
The Guest,Emma Cline,"",9781784743734,hardcover,read,2024/09/01,2024/09/16,2024/09/01-2024/09/16,1,"",,"","","","","",3.75,"","","","",No
Beyond Wealth: The Road Map to a Rich Life,Alexander Green,"",9781118027615,hardcover,to-read,2023/03/31,"","",0,"",,,,,,,,,"",,"",No
All About Love: New Visions,bell hooks,January LaVoy (Narrator),9780063342699,audio,did-not-finish,2024/10/11,"","",0,"",,,,,,,,<div>not for me</div>,"","","",No
A Tree Grows in Brooklyn,Betty Smith,"",9780061120077,paperback,to-read,2024/01/12,"","",0,"",,,,,,,,,"",,"",No
Meditations,Marcus Aurelius,Martin Hammond (Translator),9780140449334,paperback,to-read,2023/05/20,"","",0,"",,,,,,,,,"",,"",No
East of Eden,John Steinbeck,"",9780142000656,paperback,to-read,2023/05/17,"","",0,"",,,,,,,,,"",,"",No
Starbound: A Startruck Novel,Brenda Hiatt,"",9781940618067,paperback,read,2023/12/19,2023/12/21,2023/12/18-2023/12/21,1,"",,,,,,,,,"",,"",No
Know My Name,Chanel Miller,"",9780735223714,digital,did-not-finish,2024/10/08,"","",0,"",,,,,,,,<div>Too heavy&nbsp;</div>,"","","",No
The Little Book of Hygge: The Danish Way to Live Well,Meik Wiking,"",9780241283912,hardcover,read,2023/05/11,2023/05/10,2023/05/10-2023/05/10,1,"",,,,,,,5.0,"","","","",No
Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,"",9780761178972,paperback,read,2022/09/19,2022/05,2022/05,1,"",,,,,,,3.75,"","","","",No
The Assembly of the Severed Head,Hugh Lupton,"",,,to-read,2023/05/20,"","",0,"",,,,,,,,,"",,"",No
Five Survive,Holly Jackson,"",9780593374160,hardcover,read,2023/04/02,2023/04/03,2023/03/31-2023/04/03,1,"",,"","","","","",3.75,"","","","",No
Our Wives Under The Sea,Julia Armfield,"",9781529017236,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
How Should a Person Be?,Sheila Heti,"",9780887842405,hardcover,read,2022/09/19,2022/06,2022/06,1,"",,"","","","","",2.0,"","","","",No
The Hitchhiker's Guide to the Galaxy,Douglas Adams,"",9780345418913,paperback,read,2022/09/19,2022/09/22,2022/09/20-2022/09/22,1,"",,"","","","","",3.0,"","","","",No
The French Lieutenant's Woman,John Fowles,"","",paperback,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
On Tour,Zoe Sugg,"","",paperback,read,2022/09/30,"","",1,"",,,,,,,,,"",,"",No
"Brilliant, Brilliant, Brilliant Brilliant Brilliant",Joel Golby,"",9780525562771,paperback,to-read,2024/01/07,"","",0,"",,,,,,,,,"",,"",No
The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,"",B005SCSCAU,digital,did-not-finish,2023/12/31,"","",0,"",,,,,,,,,"",,"",No
Crying in H Mart,Michelle Zauner,"",9780525657743,hardcover,read,2023/12/23,2024/06/14,2024/06/14-2024/06/14,1,"",,,,,,,5.0,"","","","",No
The Lowland,Jhumpa Lahiri,"",9780307265746,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
"Think & Trade Like a Champion: The Secrets, Rules & Blunt Truths of a Stock Market Wizard",Mark Minervini,"",,,to-read,2024/06/07,"","",0,"",,,,,,,,,"",,"",No
The Rosie Project,Graeme Simsion,"",9781476729084,hardcover,read,2022/09/19,2022/05,2022/05,1,"",,"","","","","",3.25,"","","","",No
"Not That Kind of Girl: A Young Woman Tells You What She's ""learned""",Lena Dunham,Joana Avillez (Illustrator),9780812994995,hardcover,read,2022/09/19,2021,2021,1,"",,,,,,,4.0,"","","","",Yes
Money: A User's Guide,Laura Whateley,"",9780008420321,digital,to-read,2023/03/31,"","",0,"",,,,,,,,,"",,"",No
All About Love: New Visions,bell hooks,"",9780688168445,hardcover,to-read,2023/09/28,"","",0,"",,,,,,,,,"",,"",No
Small Things Like These,Claire Keegan,"",9780571368686,hardcover,to-read,2024/01/02,"","",0,"",,,,,,,,,"",,"",No
The Obstacle Is the Way: The Timeless Art of Turning Trials Into Triumph,Ryan Holiday,"",9781591846352,hardcover,to-read,2023/05/20,"","",0,"",,,,,,,,,"",,"",No
Glory,NoViolet Bulawayo,Chipo Chung (Narrator),9781473599024,audio,to-read,2023/03/31,"","",0,"",,,,,,,,,"",,"",No
Galatea,Madeline Miller,"",9781408848142,digital,to-read,2022/09/20,"","",0,"",,,,,,,,,"",,"",No
"Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Young Patient, and the Past Life Therapy That Changed Both Their Lives",Brian L. Weiss,"",9780446520591,hardcover,to-read,2024/05/19,"","",0,"",,,,,,,,,"",,"",No
What We Talk about When We Talk about Love,Raymond Carver,"",9780679723059,paperback,read,2022/10/07,2023/04/05,2023/04/02-2023/04/05,1,"",,,,,,,,,"",,"",No
Nightbitch,Rachel Yoder,"",9780385546812,hardcover,to-read,2024/09/01,"","",0,"",,,,,,,,,"",,"",No
The Eye of the World,Robert Jordan,"",9780812511819,paperback,to-read,2022/09/20,"","",0,"",,,,,,,,,"",,"",No
Open Water,Caleb Azumah Nelson,"",9780241448779,hardcover,read,2022/09/19,2022/09/17,2022/09/17,1,"",,"","","","","",5.0,"","","","",No
A Man Called Ove,Fredrik Backman,Henning Koch (Translator),9781476738017,hardcover,read,2022/09/26,2022/09/28,2022/09/26-2022/09/28,1,"",,"","","","","",3.0,"","","","",No
Lessons in Chemistry,Bonnie Garmus,"",9780385547345,hardcover,read,2023/09/29,2023/10/12,2023/09/29-2023/10/12,1,"",,"","","","","",5.0,"","","","",No
Almond,Won-pyung Sohn,Sandy Joosun Lee (Translator),9780062961372,hardcover,read,2024/01/02,2024/01/23,2024/01/20-2024/01/23,1,"",,,,,,,,,"",,"",No
Talking to Strangers: What We Should Know about the People We Don't Know,Malcolm Gladwell,"",9780316478526,hardcover,to-read,2023/10/15,"","",0,"",,,,,,,,,"",,"",No
Cleopatra and Frankenstein,Coco Mellors,"",9781635576818,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Bunny,Mona Awad,"",9780525559733,hardcover,read,2023/10/15,2024/08/15,2024/08/02-2024/08/15,1,"dark, tense",,"","","","","",3.75,"","","","",No
